Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-07
Horizontal Delay,0
Sample Interval,8e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0
Label,
TIME,CH1
-4.0000e-06,0.092
-3.9992e-06,-0.098
-3.9984e-06,0.068
-3.9976e-06,-0.004
-3.9968e-06,-0.06
-3.9960e-06,0.104
-3.9952e-06,-0.09
-3.9944e-06,0.05
-3.9936e-06,0.026
-3.9928e-06,-0.078
-3.9920e-06,0.104
-3.9912e-06,-0.078
-3.9904e-06,0.026
-3.9896e-06,0.05
-3.9888e-06,-0.096
-3.9880e-06,0.098
-3.9872e-06,-0.06
-3.9864e-06,0.002
-3.9856e-06,0.066
-3.9848e-06,-0.102
-3.9840e-06,0.09
-3.9832e-06,-0.042
-3.9824e-06,-0.024
-3.9816e-06,0.084
-3.9808e-06,-0.108
-3.9800e-06,0.08
-3.9792e-06,-0.018
-3.9784e-06,-0.042
-3.9776e-06,0.096
-3.9768e-06,-0.102
-3.9760e-06,0.058
-3.9752e-06,0.008
-3.9744e-06,-0.068
-3.9736e-06,0.102
-3.9728e-06,-0.088
-3.9720e-06,0.042
-3.9712e-06,0.034
-3.9704e-06,-0.084
-3.9696e-06,0.106
-3.9688e-06,-0.074
-3.9680e-06,0.016
-3.9672e-06,0.056
-3.9664e-06,-0.094
-3.9656e-06,0.098
-3.9648e-06,-0.052
-3.9640e-06,-0.014
-3.9632e-06,0.07
-3.9624e-06,-0.102
-3.9616e-06,0.092
-3.9608e-06,-0.03
-3.9600e-06,-0.032
-3.9592e-06,0.09
-3.9584e-06,-0.104
-3.9576e-06,0.074
-3.9568e-06,-0.008
-3.9560e-06,-0.052
-3.9552e-06,0.1
-3.9544e-06,-0.094
-3.9536e-06,0.052
-3.9528e-06,0.02
-3.9520e-06,-0.074
-3.9512e-06,0.104
-3.9504e-06,-0.086
-3.9496e-06,0.03
-3.9488e-06,0.046
-3.9480e-06,-0.088
-3.9472e-06,0.106
-3.9464e-06,-0.07
-3.9456e-06,0.008
-3.9448e-06,0.064
-3.9440e-06,-0.094
-3.9432e-06,0.096
-3.9424e-06,-0.05
-3.9416e-06,-0.014
-3.9408e-06,0.08
-3.9400e-06,-0.104
-3.9392e-06,0.088
-3.9384e-06,-0.022
-3.9376e-06,-0.044
-3.9368e-06,0.092
-3.9360e-06,-0.1
-3.9352e-06,0.064
-3.9344e-06,0.002
-3.9336e-06,-0.058
-3.9328e-06,0.102
-3.9320e-06,-0.086
-3.9312e-06,0.044
-3.9304e-06,0.028
-3.9296e-06,-0.078
-3.9288e-06,0.1
-3.9280e-06,-0.08
-3.9272e-06,0.024
-3.9264e-06,0.048
-3.9256e-06,-0.096
-3.9248e-06,0.104
-3.9240e-06,-0.064
-3.9232e-06,-0.002
-3.9224e-06,0.068
-3.9216e-06,-0.1
-3.9208e-06,0.092
-3.9200e-06,-0.036
-3.9192e-06,-0.022
-3.9184e-06,0.086
-3.9176e-06,-0.1
-3.9168e-06,0.076
-3.9160e-06,-0.016
-3.9152e-06,-0.046
-3.9144e-06,0.094
-3.9136e-06,-0.1
-3.9128e-06,0.058
-3.9120e-06,0.008
-3.9112e-06,-0.072
-3.9104e-06,0.104
-3.9096e-06,-0.086
-3.9088e-06,0.038
-3.9080e-06,0.034
-3.9072e-06,-0.084
-3.9064e-06,0.1
-3.9056e-06,-0.074
-3.9048e-06,0.01
-3.9040e-06,0.056
-3.9032e-06,-0.1
-3.9024e-06,0.096
-3.9016e-06,-0.052
-3.9008e-06,-0.01
-3.9000e-06,0.082
-3.8992e-06,-0.102
-3.8984e-06,0.09
-3.8976e-06,-0.03
-3.8968e-06,-0.036
-3.8960e-06,0.092
-3.8952e-06,-0.106
-3.8944e-06,0.072
-3.8936e-06,-0.01
-3.8928e-06,-0.06
-3.8920e-06,0.102
-3.8912e-06,-0.094
-3.8904e-06,0.05
