Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-2.0000e-05,0.004
-1.9996e-05,-0.0632
-1.9992e-05,0.0688
-1.9988e-05,-0.0072
-1.9984e-05,-0.0584
-1.9980e-05,0.0736
-1.9976e-05,-0.0184
-1.9972e-05,-0.0528
-1.9968e-05,0.076
-1.9964e-05,-0.0272
-1.9960e-05,-0.0432
-1.9956e-05,0.0768
-1.9952e-05,-0.0392
-1.9948e-05,-0.0328
-1.9944e-05,0.0776
-1.9940e-05,-0.0464
-1.9936e-05,-0.0208
-1.9932e-05,0.0752
-1.9928e-05,-0.0552
-1.9924e-05,-0.0096
-1.9920e-05,0.0712
-1.9916e-05,-0.06
-1.9912e-05,0.0024
-1.9908e-05,0.0624
-1.9904e-05,-0.068
-1.9900e-05,0.0112
-1.9896e-05,0.0568
-1.9892e-05,-0.072
-1.9888e-05,0.0248
-1.9884e-05,0.0512
-1.9880e-05,-0.0736
-1.9876e-05,0.0352
-1.9872e-05,0.0376
-1.9868e-05,-0.0792
-1.9864e-05,0.0432
-1.9860e-05,0.0288
-1.9856e-05,-0.0768
-1.9852e-05,0.0528
-1.9848e-05,0.0176
-1.9844e-05,-0.0712
-1.9840e-05,0.0656
-1.9836e-05,0.0056
-1.9832e-05,-0.0664
-1.9828e-05,0.0688
-1.9824e-05,-0.004
-1.9820e-05,-0.06
-1.9816e-05,0.0752
-1.9812e-05,-0.0184
-1.9808e-05,-0.0536
-1.9804e-05,0.0752
-1.9800e-05,-0.0264
-1.9796e-05,-0.0432
-1.9792e-05,0.0792
-1.9788e-05,-0.0392
-1.9784e-05,-0.04
-1.9780e-05,0.0784
-1.9776e-05,-0.0432
-1.9772e-05,-0.024
-1.9768e-05,0.0752
-1.9764e-05,-0.056
-1.9760e-05,-0.012
-1.9756e-05,0.0696
-1.9752e-05,-0.0632
-1.9748e-05,-0.0008
-1.9744e-05,0.0648
-1.9740e-05,-0.0696
-1.9736e-05,0.0104
-1.9732e-05,0.0584
-1.9728e-05,-0.0688
-1.9724e-05,0.0232
-1.9720e-05,0.0536
-1.9716e-05,-0.0752
-1.9712e-05,0.0304
-1.9708e-05,0.0432
-1.9704e-05,-0.0744
-1.9700e-05,0.044
-1.9696e-05,0.0288
-1.9692e-05,-0.0728
-1.9688e-05,0.0544
-1.9684e-05,0.0144
-1.9680e-05,-0.0736
-1.9676e-05,0.0616
-1.9672e-05,0.012
-1.9668e-05,-0.068
-1.9664e-05,0.064
-1.9660e-05,-0.0016
-1.9656e-05,-0.0632
-1.9652e-05,0.0704
-1.9648e-05,-0.0128
-1.9644e-05,-0.0568
-1.9640e-05,0.0768
-1.9636e-05,-0.0256
-1.9632e-05,-0.0472
-1.9628e-05,0.0744
-1.9624e-05,-0.0376
-1.9620e-05,-0.0352
-1.9616e-05,0.08
-1.9612e-05,-0.0432
-1.9608e-05,-0.0256
-1.9604e-05,0.0752
-1.9600e-05,-0.0568
-1.9596e-05,-0.0136
-1.9592e-05,0.0704
-1.9588e-05,-0.0616
-1.9584e-05,-0.004
-1.9580e-05,0.0704
-1.9576e-05,-0.0664
-1.9572e-05,0.0112
-1.9568e-05,0.0632
-1.9564e-05,-0.0712
-1.9560e-05,0.0216
-1.9556e-05,0.0512
-1.9552e-05,-0.076
-1.9548e-05,0.0328
-1.9544e-05,0.0448
-1.9540e-05,-0.0744
-1.9536e-05,0.044
-1.9532e-05,0.0312
-1.9528e-05,-0.076
-1.9524e-05,0.0512
-1.9520e-05,0.0216
-1.9516e-05,-0.0752
-1.9512e-05,0.0616
-1.9508e-05,0.0096
-1.9504e-05,-0.068
-1.9500e-05,0.064
-1.9496e-05,-0.0016
-1.9492e-05,-0.0632
-1.9488e-05,0.0712
-1.9484e-05,-0.0136
